critic,fresh,imdb,publication,quote,review_date,rtid,title
Bosley Crowther,fresh,47437.0,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01,18228.0,Sabrina
Derek Elley,none,112896.0,Variety,,2012-02-23,10445.0,Dracula: Dead and Loving It
Jonathan Rosenbaum,rotten,112896.0,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,10445.0,Dracula: Dead and Loving It
Joe Leydon,rotten,112896.0,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,10445.0,Dracula: Dead and Loving It
,rotten,112896.0,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,10445.0,Dracula: Dead and Loving It
Janet Maslin,fresh,112896.0,New York Times,Slight but amusing.,2003-05-20,10445.0,Dracula: Dead and Loving It
David Kronke,rotten,112896.0,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,10445.0,Dracula: Dead and Loving It
James Berardinelli,rotten,112896.0,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,10445.0,Dracula: Dead and Loving It
Susan Stark,rotten,112896.0,Detroit News,,2000-01-01,10445.0,Dracula: Dead and Loving It
Hal Hinson,rotten,112896.0,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01,10445.0,Dracula: Dead and Loving It
Susan Wloszczyna,rotten,112896.0,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,10445.0,Dracula: Dead and Loving It
Desson Thomson,rotten,112896.0,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,10445.0,Dracula: Dead and Loving It
Mick LaSalle,fresh,112896.0,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,10445.0,Dracula: Dead and Loving It
Brian Lowry,none,112453.0,Variety,,2009-03-26,9562.0,Balto
,none,112453.0,Time Out,,2006-01-26,9562.0,Balto
Stephen Holden,none,112453.0,New York Times,,2003-05-20,9562.0,Balto
David Kronke,none,112453.0,Los Angeles Times,,2002-08-15,9562.0,Balto
Peter Stack,none,112453.0,San Francisco Chronicle,,2000-01-01,9562.0,Balto
Susan Wloszczyna,rotten,112453.0,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,9562.0,Balto
Kevin McManus,none,112453.0,Washington Post,,2000-01-01,9562.0,Balto
Roger Ebert,fresh,112453.0,Chicago Sun-Times,,2000-01-01,9562.0,Balto
James Berardinelli,rotten,112453.0,ReelViews,,2000-01-01,9562.0,Balto
Susan Stark,rotten,112453.0,Detroit News,,2000-01-01,9562.0,Balto
Rita Kempley,none,112453.0,Washington Post,,2000-01-01,9562.0,Balto
Todd McCarthy,rotten,112760.0,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",2009-03-26,10672.0,Cutthroat Island
Trevor Johnston,rotten,112760.0,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",2006-02-09,10672.0,Cutthroat Island
Janet Maslin,rotten,112760.0,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",2003-05-20,10672.0,Cutthroat Island
Peter Stack,rotten,112760.0,San Francisco Chronicle,,2002-06-18,10672.0,Cutthroat Island
,none,112760.0,Globe and Mail,,2002-04-12,10672.0,Cutthroat Island
Susan Wloszczyna,fresh,112760.0,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",2000-01-01,10672.0,Cutthroat Island
Desson Thomson,rotten,112760.0,Washington Post,It takes a two-hour act of will to keep facing the screen during this moribund movie.,2000-01-01,10672.0,Cutthroat Island
Roger Ebert,fresh,112760.0,Chicago Sun-Times,,2000-01-01,10672.0,Cutthroat Island
Susan Stark,fresh,112760.0,Detroit News,,2000-01-01,10672.0,Cutthroat Island
James Berardinelli,rotten,112760.0,ReelViews,,2000-01-01,10672.0,Cutthroat Island
,rotten,112760.0,Entertainment Weekly,,1995-12-22,10672.0,Cutthroat Island
Owen Gleiberman,fresh,112641.0,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25,13456.0,Casino
Richard Schickel,fresh,112641.0,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25,13456.0,Casino
Jonathan Rosenbaum,rotten,112641.0,Chicago Reader,Simultaneously quite watchable and passionless.,2010-01-25,13456.0,Casino
Todd McCarthy,fresh,112641.0,Variety,"Martin Scorsese's intimate epic about money, sex and brute force is a grandly conceived study of what happens to goodfellas from the mean streets when they outstrip their wildest dreams and achieve the pinnacle of wealth and power.",2008-05-16,13456.0,Casino
David Ansen,rotten,112641.0,Newsweek,"It's not the actors' fault that no one is able to break through the film's gorgeous but chilly surface. You watch Casino with respect and appreciation, reveling in its documentary sense of detail.",2008-03-31,13456.0,Casino
Hal Hinson,rotten,112641.0,Washington Post,"Scorsese may be flailing here, but Scorsese flailing is more formidable than most directors at the top of their form.",2006-08-09,13456.0,Casino
Geoff Andrew,rotten,112641.0,Time Out,"The result, sadly, is that contradiction in terms, a dull Scorsese movie.",2006-02-09,13456.0,Casino
Janet Maslin,fresh,112641.0,New York Times,"Of all the bravura visual effects in Martin Scorsese's dazzlingly stylish Casino, it's a glimpse of ordinary people that delivers the greatest jolt.",2003-05-20,13456.0,Casino
Mick LaSalle,rotten,112641.0,San Francisco Chronicle,"It's an ambitious film, but also a scattered, unfocused one.",2002-06-18,13456.0,Casino
Rick Groen,fresh,112641.0,Globe and Mail,"Visually impressive, splendidly performed, thematically significant, this is a movie in full possession of every key cinematic asset except one -- a solid script.",2002-04-12,13456.0,Casino
Peter Travers,fresh,112641.0,Rolling Stone,[A] Vegas masterpiece.,2001-05-12,13456.0,Casino
Kenneth Turan,fresh,112641.0,Los Angeles Times,"Martin Scorsese is a master filmmaker, so skilled in the manipulation of imagery he might be the most proficient of active American directors.",2001-02-13,13456.0,Casino
Desson Thomson,rotten,112641.0,Washington Post,"After coming out gangbusters in its first and finest hour, the 180-minute movie loses all its chips in the remaining two.",2000-01-01,13456.0,Casino
Susan Stark,fresh,112641.0,Detroit News,,2000-01-01,13456.0,Casino
Roger Ebert,fresh,112641.0,Chicago Sun-Times,Martin Scorsese's fascinating new film Casino knows a lot about the Mafia's relationship with Las Vegas.,2000-01-01,13456.0,Casino
James Berardinelli,fresh,112641.0,ReelViews,"In every way -- from the fantastic sets, rich dialogue, and unapologetic violence to the well-portrayed characters and themes of loyalty and betrayal -- Casino is pure Scorsese.",2000-01-01,13456.0,Casino
Mike Clark,fresh,112641.0,USA Today,"Whether you find it exhilarating, expendable or exhausting -- and you will find it exhausting -- Martin Scorsese's Casino is the spectacular last word on urban sprawl.",2000-01-01,13456.0,Casino
Brian Lowry,rotten,113845.0,Variety,Bounces along with a lame script and inconsistent pace.,2009-03-26,14560.0,Money Train
Nigel Floyd,rotten,113845.0,Time Out,Hardly worth the four-year wait.,2006-06-24,14560.0,Money Train
Stephen Holden,fresh,113845.0,New York Times,"More viscerally charged than ""Speed"" and hipper than ""Die Hard With a Vengeance,"" the movie is a careening, screeching joyride that showers sparks like fireworks.",2003-05-20,14560.0,Money Train
Mick LaSalle,fresh,113845.0,San Francisco Chronicle,,2002-06-18,14560.0,Money Train
Kenneth Turan,fresh,113845.0,Los Angeles Times,"""Money Train"" is a by-the-numbers action-buddy picture, and few directors run through those numbers as smoothly as Joseph Ruben.",2001-02-13,14560.0,Money Train
Hal Hinson,rotten,113845.0,Washington Post,"Even if they only charged a token, it would be too much.",2000-01-01,14560.0,Money Train
Mike Clark,rotten,113845.0,USA Today,"It's stupid, but also breezier than the year's other 12-score releases not worth a second look.",2000-01-01,14560.0,Money Train
Susan Stark,rotten,113845.0,Detroit News,,2000-01-01,14560.0,Money Train
James Berardinelli,rotten,113845.0,ReelViews,,2000-01-01,14560.0,Money Train
Ken Tucker,rotten,113845.0,Entertainment Weekly,"A big, noisy headache of a movie...",1995-11-22,14560.0,Money Train
Owen Gleiberman,fresh,113161.0,Entertainment Weekly,,2011-09-07,13680.0,Get Shorty
David Ansen,fresh,113161.0,Newsweek,"Hollywood has been in love with mobsters since the beginning of movies. But the other side of the equation has seldom been considered. That is, until now.",2008-05-07,13680.0,Get Shorty
Variety Staff,fresh,113161.0,Variety,A drolly offbeat look at Hollywood mores dedicated to the proposition that the best preparation for becoming a film producer is a stint in the criminal underworld.,2008-05-07,13680.0,Get Shorty
Jonathan Rosenbaum,fresh,113161.0,Chicago Reader,An entertaining comedy-thriller adapted by Scott Frank from the Elmore Leonard best-seller and directed with bounce (if not much nuance) by Barry Sonnenfeld.,2008-05-07,13680.0,Get Shorty
,fresh,113161.0,Time Out,Everything clicks.,2006-06-24,13680.0,Get Shorty
Janet Maslin,fresh,113161.0,New York Times,"It's part of the joke here that Chili is a die-hard cineaste and loves reminiscing about smart, stylish tough-guy films he has enjoyed. Get Shorty belongs on that list.",2003-05-20,13680.0,Get Shorty
Edward Guthmann,fresh,113161.0,San Francisco Chronicle,"It's Travolta -- smooth, commanding, handsome as ever, a cool, rhythmic bop in his walk -- who owns the film.",2002-06-18,13680.0,Get Shorty
Peter Travers,fresh,113161.0,Rolling Stone,The result is one of the best movies of the year and by far the most entertaining.,2001-05-12,13680.0,Get Shorty
Kenneth Turan,fresh,113161.0,Los Angeles Times,In the category of amiable diversions it's awfully tough to improve on.,2001-02-13,13680.0,Get Shorty
Hal Hinson,fresh,113161.0,Washington Post,Irresistibly charming.,2000-01-01,13680.0,Get Shorty
,fresh,113161.0,USA Today,"Minor, but amusingly droll.",2000-01-01,13680.0,Get Shorty
Roger Ebert,fresh,113161.0,Chicago Sun-Times,"One of the pleasures of Get Shorty is watching the way the plot moves effortlessly from crime to the movies - not a long distance, since both industries are based on fear, greed, creativity and intimidation.",2000-01-01,13680.0,Get Shorty
Desson Thomson,fresh,113161.0,Washington Post,"This comic potboiler about gangsters in Hollywood would be a great piece of fun even without Travolta. But as a loan shark from Miami with a charming bedside manner and bigtime movie dreams, he raises the fun quotient into the sublime.",2000-01-01,13680.0,Get Shorty
James Berardinelli,fresh,113161.0,ReelViews,"While it's quite possible for the cinematically unaware to enjoy this film, this is a real treat for movie buffs. The story is as much about the love of motion pictures as it is about gangsters.",2000-01-01,13680.0,Get Shorty
Susan Stark,fresh,113161.0,Detroit News,,2000-01-01,13680.0,Get Shorty
,fresh,113161.0,Entertainment Weekly,,1995-10-20,13680.0,Get Shorty
Owen Gleiberman,fresh,113627.0,Entertainment Weekly,"Dark and giddy at the same time, Leaving Las Vegas takes us into dreamy, intoxicated places no movie about an alcoholic has gone before.",2011-09-07,13165.0,Leaving Las Vegas
Richard Schickel,fresh,113627.0,TIME Magazine,"We're not talking high, morally instructive tragedy here, just a hard lesson in postmodernist outlawry and its sad little anarchies.",2008-09-19,13165.0,Leaving Las Vegas
Leonard Klady,fresh,113627.0,Variety,"The film pulls no punches, takes no prisoners and flies in the face of feel-good pictures.",2008-02-11,13165.0,Leaving Las Vegas
Jonathan Rosenbaum,fresh,113627.0,Chicago Reader,"The plot goes nowhere, but under the pornographic circumstances Figgis, Cage, and Shue all do fine jobs.",2008-02-11,13165.0,Leaving Las Vegas
Geoff Andrew,rotten,113627.0,Time Out,It certainly has the courage of its convictions.,2006-06-24,13165.0,Leaving Las Vegas
Janet Maslin,fresh,113627.0,New York Times,"Small, searing film.",2003-05-20,13165.0,Leaving Las Vegas
Peter Travers,fresh,113627.0,Rolling Stone,A uniquely hypnotic and haunting love story sparked by Nicolas Cage and Elisabeth Shue at their career best.,2001-05-12,13165.0,Leaving Las Vegas
Kenneth Turan,fresh,113627.0,Los Angeles Times,A film laden with virtues but difficult to embrace.,2001-02-13,13165.0,Leaving Las Vegas
James Berardinelli,fresh,113627.0,ReelViews,"Nicolas Cage, who has a track record of immersing himself in parts, gives one of the year's most powerful acting turns.",2000-01-01,13165.0,Leaving Las Vegas
Mike Clark,fresh,113627.0,USA Today,"Tough to watch, but haunting enough to deserve its initial praise.",2000-01-01,13165.0,Leaving Las Vegas
Susan Stark,fresh,113627.0,Detroit News,,2000-01-01,13165.0,Leaving Las Vegas
Roger Ebert,fresh,113627.0,Chicago Sun-Times,"Cage, a resourceful and daring actor, has never been better.",2000-01-01,13165.0,Leaving Las Vegas
,none,114057.0,Variety,,2012-02-23,13094.0,Othello
Todd McCarthy,none,114057.0,Variety,,2009-03-26,13094.0,Othello
,none,114057.0,Houston Chronicle,,2008-10-18,13094.0,Othello
Peter Travers,none,114057.0,Rolling Stone,,2008-10-18,13094.0,Othello
Anna Smith,fresh,114057.0,Time Out,A highly engaging attempt at Shakespeare's most domestic tragedy.,2006-01-26,13094.0,Othello
Janet Maslin,fresh,114057.0,New York Times,Mr. Branagh's superb performance...guarantees this film an immediacy that any audience will understand.,2003-05-20,13094.0,Othello
,fresh,114057.0,Hollywood Reporter,Davies has done an admirable job of condensing the sprawling action.,2002-10-15,13094.0,Othello
Kevin Thomas,fresh,114057.0,Los Angeles Times,Parker has shown how involving and moving Shakespeare can still be on the screen.,2001-02-13,13094.0,Othello
Desson Thomson,rotten,114057.0,Washington Post,"Parker, whose screenplay strips down the original play, merely produces a lackluster essence.",2000-01-01,13094.0,Othello
James Berardinelli,fresh,114057.0,ReelViews,"For sheer impact, this Othello can stand side-by-side with the versions brought to the screen by Orson Welles (as restored in 1992) and Lawrence Olivier.",2000-01-01,13094.0,Othello
Susan Stark,fresh,114057.0,Detroit News,,2000-01-01,13094.0,Othello
Mike Clark,fresh,114057.0,USA Today,"The movie is roughly on the same cinematic level as the Mel Gibson Hamlet, though it tends to get under your skin a little more once it gets rolling.",2000-01-01,13094.0,Othello
Roger Ebert,rotten,114057.0,Chicago Sun-Times,"... Will not give its viewers much of an idea of the Shakespeare play, and may inadvertently give them other ideas, about interracial love, that were not much on Shakespeare's mind.",2000-01-01,13094.0,Othello
Rita Kempley,rotten,114057.0,Washington Post,"Passion, like outpourings of iambic pentameter, isn't part of this picture's equation.",2000-01-01,13094.0,Othello
Mick LaSalle,rotten,114057.0,San Francisco Chronicle,"The real question is, could director Oliver Parker have done worse?",2000-01-01,13094.0,Othello
,fresh,114057.0,Entertainment Weekly,,1995-12-22,13094.0,Othello
Jonathan Rosenbaum,fresh,114746.0,Chicago Reader,"While all of Gilliam's movies are worth seeing, there's a fair amount of his designer grimness here mixed in with the cabaret comedy.",2011-05-27,15508.0,Twelve Monkeys
Variety Staff,rotten,114746.0,Variety,Neither as visually compelling as Brazil nor as emotionally gripping as The Fisher King.,2009-03-26,15508.0,Twelve Monkeys
Geoff Andrew,fresh,114746.0,Time Out,"Gilliam gives the material a lunatic poetry of his own, but remains impervious to the requirements of narrative pacing.",2006-06-24,15508.0,Twelve Monkeys
Emanuel Levy,fresh,114746.0,Variety,"Dark and somber like Blade Runner, this sci-fi is a spectacular mess, a convoluted film with too many ideas for its own good, blending (among other things) the virus thriller with the post-apocalyptic genre.",2005-08-12,15508.0,Twelve Monkeys
Janet Maslin,fresh,114746.0,New York Times,"There's always overripe method to his madness, but in the new 12 Monkeys Mr. Gilliam's methods are uncommonly wrenching and strong.",2003-05-20,15508.0,Twelve Monkeys
Peter Travers,fresh,114746.0,Rolling Stone,"Bruce Willis, in an eruptive performance of startling emotional intensity, stars as Cole, a prisoner tagged for an experiment that may get him killed.",2001-05-12,15508.0,Twelve Monkeys
Kenneth Turan,fresh,114746.0,Los Angeles Times,"Mystifying, intriguing, even infuriating, it shows what happens when an unconventional talent meets straightforward material.",2001-02-13,15508.0,Twelve Monkeys
Desson Thomson,fresh,114746.0,Washington Post,"Willis and Pitts's performances, Gilliam's atmospherics and an exhilarating momentum easily outweigh such trifling flaws.",2001-02-13,15508.0,Twelve Monkeys
John Hartl,fresh,114746.0,Film.com,"In some ways, 12 Monkeys is the end-of-the-world thriller that Kathryn Bigelow's Strange Days wanted to be.",2000-01-01,15508.0,Twelve Monkeys
Roger Ebert,fresh,114746.0,Chicago Sun-Times,"As an entertainment, it appeals more to the mind than to the senses.",2000-01-01,15508.0,Twelve Monkeys
Scott Rosenberg,fresh,114746.0,Salon.com,"What's remarkable about 12 Monkeys is that, despite its decade-hopping abandon, the film makes a chilling kind of narrative sense.",2000-01-01,15508.0,Twelve Monkeys
Richard Corliss,rotten,114746.0,TIME Magazine,"In its frantic mix of chaos, carnage and zoo animals, 12 Monkeys is Jumanji for adults.",2000-01-01,15508.0,Twelve Monkeys
Susan Stark,rotten,114746.0,Detroit News,Overwrought.,2000-01-01,15508.0,Twelve Monkeys
Rita Kempley,fresh,114746.0,Washington Post,"A densely plotted, visually dynamic post-apocalyptic thriller.",2000-01-01,15508.0,Twelve Monkeys
James Berardinelli,fresh,114746.0,ReelViews,A consistently engaging motion picture.,2000-01-01,15508.0,Twelve Monkeys
Sean Means,fresh,114746.0,Film.com,"Willis gives a quietly intense performance, looking like he's trying to solve a jigsaw puzzle in his head.",2000-01-01,15508.0,Twelve Monkeys
